pointA,pointB,distance
"(42.3364039, -71.07223994070816)","(42.3505083, -71.1039114501441)",3411.3669999999997
"(42.3364039, -71.07223994070816)","(42.34877175, -71.10419840251558)",3487.6049999999996
"(42.3364039, -71.07223994070816)","(42.3517837, -71.1187216)",4597.126000000003
"(42.3364039, -71.07223994070816)","(42.35051115, -71.09995235)",3137.157
"(42.3364039, -71.07223994070816)","(42.3490585, -71.10153394404658)",3205.306
"(42.3364039, -71.07223994070816)","(42.3510171, -71.10981338167903)",3939.8500000000017
"(42.3364039, -71.07223994070816)","(42.3520335, -71.11030686731542)",4052.045000000002
"(42.3364039, -71.07223994070816)","(42.3498642, -71.1020204)",3244.555
"(42.3364039, -71.07223994070816)","(42.348448899999994, -71.10015580728992)",3074.7290000000003
"(42.3364039, -71.07223994070816)","(42.3508802, -71.11750772346343)",4504.5599999999995
"(42.3364039, -71.07223994070816)","(42.3484364, -71.10230804217932)",3207.269
"(42.3364039, -71.07223994070816)","(42.34888825, -71.10484432143394)",3487.6049999999996
"(42.3364039, -71.07223994070816)","(42.35078225, -71.10524017370268)",3554.599
"(42.3364039, -71.07223994070816)","(42.3505236, -71.10754495805156)",3783.3420000000006
"(42.3364039, -71.07223994070816)","(42.3501003, -71.10383756091035)",3384.5080000000003
"(42.3364039, -71.07223994070816)","(42.351051050235355, -71.1137959187151)",4191.369000000002
"(42.3364039, -71.07223994070816)","(42.35455655, -71.12354972039716)",5212.833000000001
"(42.3364039, -71.07223994070816)","(42.3497494, -71.10134870499787)",3200.4410000000007
"(42.3364039, -71.07223994070816)","(42.34972315, -71.10086607545841)",3107.355
"(42.3364039, -71.07223994070816)","(42.3360176, -71.0694751)",336.288
"(42.3364039, -71.07223994070816)","(42.3497874, -71.09794138426676)",2904.4300000000003
"(42.3522233, -71.11773001441316)","(42.335202, -71.06984300654784)",4886.489999999998
"(42.3522233, -71.11773001441316)","(42.354296250000004, -71.12122556854106)",536.927
"(42.3522233, -71.11773001441316)","(42.3485174, -71.0993601)",2004.9950000000006
"(42.3522233, -71.11773001441316)","(42.34865105, -71.10126530464467)",1623.9210000000003
"(42.3522233, -71.11773001441316)","(42.348208549999995, -71.10116164185519)",1629.7120000000004
"(42.3522233, -71.11773001441316)","(42.3502728, -71.1055321)",1148.5199999999998
"(42.3522233, -71.11773001441316)","(42.3500229, -71.10311127482268)",1302.3039999999996
"(42.3522233, -71.11773001441316)","(42.351293600000005, -71.11387671441952)",439.001
"(42.3522233, -71.11773001441316)","(42.351481699999994, -71.1145903356746)",381.64200000000005
"(42.3522233, -71.11773001441316)","(42.3508071, -71.1161896)",306.708
"(42.3522233, -71.11773001441316)","(42.3481453, -71.0986357601812)",1787.2110000000002
"(42.3522233, -71.11773001441316)","(42.3489018, -71.1023218)",1444.5920000000003
"(42.3522233, -71.11773001441316)","(42.3532496, -71.10777000756758)",1210.992
"(42.3522233, -71.11773001441316)","(42.3539611, -71.1203527)",383.39500000000004
"(42.3522233, -71.11773001441316)","(42.33302405, -71.07351342066596)",4738.080999999999
"(42.3522233, -71.11773001441316)","(42.350582900000006, -71.10413120618469)",1310.854
